__label__fake,"影片宣稱「影片中的年輕人,就是LWKS患者...正常人不會帶著小刀去附近商店買東西...現今隨機殺人or傷人案件頻傳，大家要小心...」？"
__label__fake,「以色列衛生部長稱新冠肺炎是上天對同性戀的懲罰，隨後被確診感染」、「以色列衛生部長稱只有同性戀才得武肺 自己被確診」？
__label__fake,「日本的諾貝爾醫學獎得主教授本庶佑（Tasuku Honjo）博士今天說，冠狀病毒不是天然的...我在中國武漢實驗室工作了4年...」？
__label__fake,影片宣稱「絕密視頻流出，時間不詳 染疫死的？處理屍體的軍人沒穿防護服...」、「中共軍人掩埋大批屍體視頻曝光」？
__label__fake,影片宣稱「中國5G技術，應用在演唱會上技驚四座，難怪美國人要打壓華為」？
__label__fake,多家媒體報導「泰警逮捕違反宵禁的斑貓」、「泰國警方逮捕一隻貓 指其違反外出禁令」？
__label__fake,「威廉王子皇室婚禮(本片得來不易)…不為人知的入場片段實在是太可愛了！打破對王室傳統看法見識王室也有開朗活潑的一面尤其是婚禮現場！」
__label__fake,「免費認養 60隻純種狗狗即將安樂死 等著認養 請大家幫忙轉寄...板橋收容所爆滿了」？
__label__fake,電郵通知「台灣疾病預防控制中心的最終通知」？
__label__fake,影片宣稱「特朗普黑幫全都接種了新冠疫苗！2020年4月20日，特朗普的新冠新聞發布會露出驚天秘密...難怪...特朗普新冠檢測始終陰性」？
__label__fake,「3萬紓困補助...是從勞工自己的勞退金裡挪用的」？
__label__fake,「沒撇步⋯只能將佛祖請列出來鎮病毒了...整個JR日本地鐵站里都佈滿阿彌陀佛」？
__label__fake,影片宣稱「新妙招，印度捉到沒有戴口罩的市民 ，關到一架救護車裡鎖住 ，裡面有一個假扮確診的患者...」？
__label__fake,"簡訊通知「您所郵寄的包裹涉嫌違規操作已退回,請核對退貨地址」？"
__label__fake,「4月25日新聞快報。由於疫情的關係，政府決定幫助國民，無條件每個家庭將會提供援助。援助金可高達50000台幣，連續三個月，申請詳情如下」？
__label__fake,圖片宣稱「一位護士在摘掉口罩和眼鏡罩後，在紫外線下顯出臉上仍有殘留的病毒...」？
__label__fake,「中華民國衛福部長: 陳時中提醒大家~再﻿次﻿﻿強調﻿：別﻿出門，端午節(6月25日)過後，再看疫情﻿控制情況...」﻿？
__label__fake,影片宣稱「記者探望病愈在家的英國首相強生...他的家真像是遺棄的三綫軍工場舊址...也許是客廳太小只好自己端着茶盤...」？
__label__fake,影片搭配文字宣稱「台灣幾乎絕跡 ~獨領台灣山林的雲豹再現蹤影！美麗的花紋，真令人讚嘆」？
__label__fake,「只要戶籍在新北市，年滿65歲可到區公所帶身份證存摺辦理健保補助金，三千二百二十四元，半年領一次...」？
